Variable,Consortium Aggregate,University of Pennsylvania,Oregon Health & Science University,Rush University,Johns Hopkins University,University of California San Francisco,Emory University,Northwestern University,University of Toronto,University of Chicago,University of Minnesota,MIMIC IV,University of Michigan
N: ICU encounters,947562,125249,63357,50440,104641,65750,121782,105721,13259,26870,144747,85162,40584
N: unique patients,745112,97933,53527,36637,85982,53806,93718,85003,12658,21384,104910,64954,34600
Race n (%): White,475268 (50.2),55701 (56.9%),45191 (84.4%),15697 (42.8%),51118 (59.5%),29610 (55.0%),49086 (52.4%),62500 (73.5%),,5789 (27.1%),88633 (84.5%),43795 (67.4%),28148 (81.4%)
Race n (%): Black,147203 (15.5),29864 (30.5%),1281 (2.4%),12970 (35.4%),24228 (28.2%),3876 (7.2%),35415 (37.8%),10514 (12.4%),,13017 (60.9%),6366 (6.1%),6061 (9.3%),3611 (10.4%)
Race n (%): Other,120335 (12.7),12364 (12.6%),5904 (11.0%),7970 (21.8%),10636 (12.4%),19848 (36.9%),9213 (9.8%),11987 (14.1%),12658 (100.0%),2551 (11.9%),9911 (9.4%),15098 (23.2%),2195 (6.3%)
Race n (%): nan,1075 (0.1),4 (0.0%),1065 (2.0%),,,,4 (0.0%),2 (0.0%),,,,,
Sex n (%): Male,409311 (43.2),54473 (55.6%),30078 (56.2%),19188 (52.4%),46279 (53.8%),28481 (52.9%),50478 (53.9%),47125 (55.4%),8392 (66.3%),12015 (56.2%),56006 (53.4%),36824 (56.7%),19972 (57.7%)
Sex n (%): Female,334330 (35.3),43452 (44.4%),22053 (41.2%),17449 (47.6%),39692 (46.2%),25305 (47.0%),43236 (46.1%),37862 (44.5%),4266 (33.7%),9369 (43.8%),48888 (46.6%),28130 (43.3%),14628 (42.3%)
Sex n (%): Unknown,394 (0.0),4 (0.0%),331 (0.6%),,11 (0.0%),20 (0.0%),,14 (0.0%),,,14 (0.0%),,
Sex n (%): nan,1075 (0.1),4 (0.0%),1065 (2.0%),,,,4 (0.0%),2 (0.0%),,,,,
Ethnicity n (%): Non-Hispanic,646663 (68.2),91918 (93.9%),45258 (84.6%),29590 (80.8%),74728 (86.9%),43262 (80.4%),80981 (86.4%),74055 (87.1%),,19058 (89.1%),103259 (98.4%),52053 (80.1%),32501 (93.9%)
Ethnicity n (%): Hispanic,43129 (4.6),3555 (3.6%),3517 (6.6%),6544 (17.9%),3864 (4.5%),8570 (15.9%),2805 (3.0%),8043 (9.5%),,1353 (6.3%),1651 (1.6%),2352 (3.6%),875 (2.5%)
Ethnicity n (%): Unknown,53752 (5.7),2456 (2.5%),3687 (6.9%),503 (1.4%),7390 (8.6%),1974 (3.7%),9928 (10.6%),2903 (3.4%),12658 (100.0%),946 (4.4%),,10549 (16.2%),758 (2.2%)
Ethnicity n (%): nan,1075 (0.1),4 (0.0%),1065 (2.0%),,,,4 (0.0%),2 (0.0%),,,,,
Hospital mortality n (%),132039 (13.9),19403 (15.5%),8202 (12.9%),6152 (12.2%),15697 (15.0%),6543 (10.0%),17824 (14.6%),16270 (15.4%),1971 (14.9%),4227 (15.7%),17759 (12.3%),12073 (14.2%),5918 (14.6%)
"SOFA-97 TOTAL, median [Q1,Q3]","4.0 [1.0,6.0]","4.0 [2.0,6.0]","3.0 [1.0,6.0]","3.0 [1.0,5.0]","4.0 [2.0,7.0]","3.0 [1.0,5.0]","3.0 [1.0,5.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,7.0]","3.0 [1.0,5.0]","4.0 [2.0,6.0]","5.0 [2.0,8.0]"
"SOFA CV 97, median [Q1,Q3]","1.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","0.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [1.0,1.0]","1.0 [0.0,1.0]"
"SOFA COAG, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"SOFA LIVER, median [Q1,Q3]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
"SOFA RESP PF, median [Q1,Q3]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
"SOFA RESP PF IMP, median [Q1,Q3]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,0.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,1.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]"
"SOFA RESP, median [Q1,Q3]","1.0 [0.0,2.0]","1.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,0.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,1.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]"
"SOFA CNS, median [Q1,Q3]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,1.0]","1.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,1.0]","0.0 [0.0,2.0]","1.0 [1.0,2.0]","1.0 [0.0,3.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","1.0 [0.0,3.0]"
"SOFA RENAL, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
Admission Location n (%): ed,541350 (57.1),54123 (41.3%),31865 (48.9%),23966 (46.9%),60832 (55.6%),14358 (21.8%),83264 (66.6%),72772 (65.6%),7916 (59.7%),17809 (66.2%),97290 (63.2%),56793 (66.5%),20362 (50.1%)
Admission Location n (%): procedural,149324 (15.8),30161 (23.0%),14330 (22.0%),9068 (17.7%),27711 (25.3%),21837 (33.2%),8727 (7.0%),19265 (17.4%),1765 (13.3%),3960 (14.7%),41 (0.0%),167 (0.2%),12292 (30.3%)
Admission Location n (%): icu,140393 (14.8),20754 (15.8%),14184 (21.8%),12903 (25.2%),12679 (11.6%),6313 (9.6%),3718 (3.0%),9993 (9.0%),1810 (13.6%),2712 (10.1%),41951 (27.2%),9288 (10.9%),4088 (10.1%)
Admission Location n (%): stepdown,19113 (2.0),13404 (10.2%),77 (0.1%),,550 (0.5%),372 (0.6%),,586 (0.5%),,,1891 (1.2%),2065 (2.4%),168 (0.4%)
Admission Location n (%): ward,98242 (10.4),11248 (8.6%),4426 (6.8%),4732 (9.3%),7470 (6.8%),7978 (12.1%),28173 (22.5%),6349 (5.7%),1735 (13.1%),2334 (8.7%),12187 (7.9%),8124 (9.5%),3486 (8.6%)
Admission Location n (%): radiology,2083 (0.2),868 (0.7%),,422 (0.8%),,39 (0.1%),741 (0.6%),,,,13 (0.0%),,
Admission Location n (%): l&d,3053 (0.3),436 (0.3%),225 (0.3%),51 (0.1%),112 (0.1%),429 (0.7%),338 (0.3%),446 (0.4%),,65 (0.2%),583 (0.4%),182 (0.2%),186 (0.5%)
Admission Location n (%): other,25000 (2.6),19 (0.0%),1 (0.0%),,,14476 (22.0%),57 (0.0%),1548 (1.4%),39 (0.3%),2 (0.0%),57 (0.0%),8801 (10.3%),
Admission Location n (%): rehab,29 (0.0),5 (0.0%),,,,24 (0.0%),,,,,,,
"Total ICU days, median [Q1,Q3]","1.6 [0.8,3.1]","1.7 [0.9,3.1]","1.4 [0.8,2.7]","1.7 [0.9,3.1]","1.6 [0.9,3.1]","0.9 [0.4,1.9]","1.9 [1.0,3.8]","1.4 [0.8,2.8]","2.8 [1.2,5.8]","1.8 [1.0,3.3]","1.5 [0.8,2.9]","1.4 [0.8,2.8]","1.9 [0.9,3.8]"
"Total hospital days, median [Q1,Q3]","6.9 [3.2,13.9]","6.9 [3.6,13.2]","6.1 [3.0,11.4]","6.1 [3.2,11.2]","7.3 [3.9,13.8]","7.3 [4.1,13.9]","7.8 [4.2,13.9]","6.2 [3.3,11.8]","11.0 [6.2,20.1]","8.1 [4.3,15.0]","5.1 [2.7,10.2]","7.0 [4.2,12.2]","8.3 [4.5,15.7]"
Vasopressor encounters n (%),344752 (36.4),51131.0 (40.8%),26645.0 (42.1%),12597.0 (25.0%),37039.0 (35.4%),20175.0 (30.7%),42103.0 (34.6%),48743.0 (46.1%),4467.0 (33.7%),11510.0 (42.8%),47353.0 (32.7%),27124.0 (31.8%),15865.0 (39.1%)
"Number of pressors received, mean [SD]",6 (0.0),0.6 (0.9),0.5 (0.7),0.3 (0.7),0.5 (0.7),0.3 (0.5),0.6 (1.0),0.6 (0.9),0.5 (0.8),0.7 (1.0),0.5 (0.8),0.4 (0.7),0.5 (0.8)
"Dopamine dose, median [Q1,Q3]","4.0 [0.5,8.5]","4.00 [1.50,8.75]","5.00 [2.50,7.50]","5.00 [0.00,7.50]","4.00 [1.25,7.75]","4.00 [2.62,5.00]","2.00 [0.00,6.39]","3.00 [0.50,8.00]","2.00 [1.20,6.00]","3.75 [2.00,8.75]","4.00 [1.50,8.00]","4.01 [1.25,8.50]","3.00 [2.00,5.00]"
"Epinephrine dose, median [Q1,Q3]","0.0 [0.0,0.1]","0.02 [0.01,0.05]","0.03 [0.02,0.06]","0.02 [0.01,0.06]","0.03 [0.01,0.07]","0.04 [0.02,0.07]","0.01 [0.00,0.05]","0.03 [0.01,0.06]","0.04 [0.00,0.07]","0.04 [0.01,0.08]","0.03 [0.01,0.06]","0.02 [0.01,0.05]","0.02 [0.01,0.04]"
"Norepinephrine dose, median [Q1,Q3]","0.1 [0.0,0.2]","0.05 [0.01,0.13]","0.04 [0.02,0.08]","0.06 [0.02,0.19]","0.06 [0.02,0.20]","0.06 [0.03,0.15]","0.02 [0.00,0.10]","0.05 [0.01,0.13]","0.06 [0.02,0.18]","0.08 [0.03,0.24]","0.05 [0.02,0.13]","0.07 [0.02,0.20]","0.05 [0.01,0.13]"
"Phenylephrine dose, median [Q1,Q3]","0.4 [0.1,1.3]","0.46 [0.12,1.27]","0.30 [0.20,0.50]","0.42 [0.16,1.63]","0.50 [0.12,1.25]","0.48 [0.18,1.16]","0.10 [0.00,0.80]","0.42 [0.10,1.11]","0.91 [0.20,2.35]","0.50 [0.15,1.62]","0.37 [0.10,0.89]","0.50 [0.13,1.45]","0.50 [0.13,1.15]"
"Vasopressin dose, median [Q1,Q3]","0.0 [0.0,0.0]","0.03 [0.02,0.04]","0.03 [0.03,0.04]","0.03 [0.01,0.03]","0.04 [0.01,0.04]","0.04 [0.03,0.04]","0.02 [0.00,0.04]","0.03 [0.01,0.04]","0.04 [0.02,0.07]","0.03 [0.02,0.04]","0.04 [0.02,0.04]","0.03 [0.01,0.04]","0.03 [0.02,0.06]"
IMV encounters n (%),341941 (36.1),46830 (37.4%),20652 (32.6%),12780 (25.3%),35197 (33.6%),21314 (32.4%),51658 (42.4%),32950 (31.2%),7869 (59.3%),11361 (42.3%),46932 (32.4%),35274 (41.4%),19124 (47.1%)
First location of intubation n (%): icu,264670 (27.9),39646 (84.7%),18191 (88.1%),11509 (90.1%),28327 (80.5%),15383 (72.2%),24233 (46.9%),26941 (81.8%),4141 (52.6%),7868 (69.3%),38258 (81.5%),34668 (98.3%),15505 (81.1%)
First location of intubation n (%): ed,42574 (4.5),5103 (10.9%),1611 (7.8%),427 (3.3%),5609 (15.9%),1008 (4.7%),10564 (20.4%),4458 (13.5%),2350 (29.9%),3124 (27.5%),5117 (10.9%),48 (0.1%),3155 (16.5%)
First location of intubation n (%): procedural,17143 (1.8),1054 (2.3%),754 (3.7%),610 (4.8%),969 (2.8%),2085 (9.8%),5716 (11.1%),1213 (3.7%),1099 (14.0%),247 (2.2%),3110 (6.6%),157 (0.4%),129 (0.7%)
First location of intubation n (%): stepdown,1237 (0.1),663 (1.4%),1 (0.0%),,120 (0.3%),22 (0.1%),,32 (0.1%),,,117 (0.2%),60 (0.2%),222 (1.2%)
First location of intubation n (%): ward,13309 (1.4),346 (0.7%),95 (0.5%),208 (1.6%),172 (0.5%),102 (0.5%),11075 (21.4%),289 (0.9%),172 (2.2%),122 (1.1%),306 (0.7%),310 (0.9%),112 (0.6%)
First location of intubation n (%): radiology,889 (0.1),14 (0.0%),,24 (0.2%),,810 (3.8%),36 (0.1%),,,,5 (0.0%),,
First location of intubation n (%): dialysis,6 (0.0),3 (0.0%),,,,,,,,,3 (0.0%),,
First location of intubation n (%): other,1933 (0.2),1 (0.0%),,,,1766 (8.3%),1 (0.0%),17 (0.1%),107 (1.4%),,13 (0.0%),28 (0.1%),
Initial mode for IMV n (%): assist control-volume control,200489 (21.2),29948 (64.0%),14618 (70.8%),836 (6.5%),16793 (47.7%),11242 (52.7%),22919 (44.4%),23613 (71.7%),6626 (84.2%),10248 (90.2%),41646 (88.7%),16781 (47.6%),5219 (27.3%)
Initial mode for IMV n (%): simv,33038 (3.5),13701 (29.3%),231 (1.1%),142 (1.1%),6645 (18.9%),213 (1.0%),7521 (14.6%),1640 (5.0%),,159 (1.4%),2366 (5.0%),391 (1.1%),29 (0.2%)
Initial mode for IMV n (%): pressure support/cpap,25492 (2.7),2268 (4.8%),2652 (12.8%),956 (7.5%),3173 (9.0%),4391 (20.6%),3134 (6.1%),2697 (8.2%),705 (9.0%),486 (4.3%),1024 (2.2%),3792 (10.8%),214 (1.1%)
Initial mode for IMV n (%): Missing,8119 (0.9),523 (1.1%),230 (1.1%),432 (3.4%),7 (0.0%),2031 (9.5%),1728 (3.3%),1633 (5.0%),,188 (1.7%),672 (1.4%),563 (1.6%),112 (0.6%)
Initial mode for IMV n (%): pressure control,7113 (0.8),274 (0.6%),640 (3.1%),1788 (14.0%),485 (1.4%),221 (1.0%),953 (1.8%),1159 (3.5%),,227 (2.0%),479 (1.0%),175 (0.5%),712 (3.7%)
Initial mode for IMV n (%): other,5082 (0.5),107 (0.2%),512 (2.5%),33 (0.3%),280 (0.8%),3210 (15.1%),149 (0.3%),98 (0.3%),,,262 (0.6%),157 (0.4%),274 (1.4%)
Initial mode for IMV n (%): pressure-regulated volume control,52181 (5.5),6 (0.0%),1324 (6.4%),8593 (67.2%),7814 (22.2%),5 (0.0%),6186 (12.0%),2110 (6.4%),,12 (0.1%),397 (0.8%),13170 (37.3%),12564 (65.7%)
Initial mode for IMV n (%): volume support,323 (0.0),3 (0.0%),34 (0.2%),,,1 (0.0%),,,,41 (0.4%),,244 (0.7%),
"fio2_set, median [Q1,Q3]","0.4 [0.3,0.6]","0.40 [0.35,0.60]","0.47 [0.30,0.92]","0.40 [0.30,0.60]","0.40 [0.30,0.60]","0.40 [0.30,0.70]","0.40 [0.30,0.62]","0.40 [0.30,0.60]","0.35 [0.25,0.50]","0.40 [0.40,0.60]","0.40 [0.27,0.53]","0.45 [0.40,0.62]","0.40 [0.30,0.70]"
"peep_set, median [Q1,Q3]","5.0 [5.0,8.0]","5.00 [5.00,8.00]","5.00 [5.00,8.00]","8.00 [5.75,8.00]","5.00 [5.00,8.00]","5.00 [5.00,8.00]","6.00 [5.00,8.00]","5.00 [5.00,7.00]","5.00 [5.00,8.00]","5.00 [5.00,5.00]","5.00 [5.00,8.00]","5.00 [5.00,8.00]","5.00 [5.00,10.00]"
"resp_rate_set, median [Q1,Q3]","16.0 [12.0,21.0]","19.00 [14.75,25.00]","16.00 [14.00,20.00]","16.00 [14.00,20.00]","16.00 [15.00,21.00]","16.00 [12.00,22.00]","16.00 [14.00,20.00]","16.00 [14.00,20.00]","12.00 [0.00,22.00]","16.00 [12.00,20.00]","16.00 [12.00,18.00]","16.00 [14.00,20.00]","16.00 [14.00,20.00]"
"tidal_volume_set, median [Q1,Q3]","450.0 [380.0,500.0]","450.00 [400.00,500.00]","450.00 [400.00,520.00]","400.00 [340.00,460.00]","420.00 [375.00,487.50]","450.00 [380.00,500.00]","450.00 [380.00,500.00]","450.00 [400.00,500.00]","443.72 [358.33,566.67]","440.00 [380.00,460.00]","500.00 [400.00,550.00]","450.00 [400.00,500.00]","450.00 [365.00,500.00]"
Initial mode for IMV n (%): vdr,2 (0.0),,2 (0.0%),,,,,,,,,,
Initial mode for IMV n (%): standby,409 (0.0),,409 (2.0%),,,,,,,,,,
Initial mode for IMV n (%): not documented,9068 (1.0),,,,,,9068 (17.6%),,,,,,
Initial mode for IMV n (%): blow by,41 (0.0),,,,,,,,,,40 (0.1%),1 (0.0%),
Sex n (%): Nonbinary,1 (0.0),,,,,,,,,,1 (0.0%),,
Initial mode for IMV n (%): assist control-pressure control,538 (0.1),,,,,,,,538 (6.8%),,,,
Sex n (%): X,1 (0.0),,,,,,,,,,1 (0.0%),,
Initial mode for IMV n (%): aprv,46 (0.0),,,,,,,,,,46 (0.1%),,
First location of intubation n (%): rehab,135 (0.0),,,,,135 (0.6%),,,,,,,
First location of intubation n (%): l&d,44 (0.0),,,2 (0.0%),,3 (0.0%),33 (0.1%),,,,3 (0.0%),3 (0.0%),
Ethnicity n (%): Missing,493 (0.1),,,,,,,,,27 (0.1%),,,466 (1.3%)
"Angiotensin dose, median [Q1,Q3]","0.0 [0.0,0.0]",,,,,"0.01 [0.01,0.01]","0.01 [0.00,0.03]","0.03 [0.01,0.05]",,"0.02 [0.01,0.04]","0.03 [0.01,0.04]","0.03 [0.01,0.04]","0.02 [0.01,0.04]"
Admission Location n (%): psych,8 (0.0),,,,,,,,,,8 (0.0%),,
Admission Location n (%): hospice,2 (0.0),,,,,,2 (0.0%),,,,,,
Race n (%): Missing,1231 (0.1),,86 (0.2%),,,472 (0.9%),,,,27 (0.1%),,,646 (1.9%)
Admission Location n (%): dialysis,3 (0.0),,1 (0.0%),,,,2 (0.0%),,,,,,
